Sentence,Sentiment,clean,stopped,lemma
"$SLV -4.44% at 18 now AWFUL, down from 42.50",negative,slv at now aw down from,slv aw down,slv aw down
The secondary antenna can also be used for reception of the high power signal of the radar to calibrate the transmission channels of the radar . '',neutral,the secondari antenna can also be use for recept of the high power signal of the radar to calibr the transmiss channel of the radar,secondari antenna also use recept high power signal radar calibr transmiss channel radar,secondari antenna also use recept high power signal radar calibr transmiss channel radar
"The broker started UPM-Kymmene , Stora Enso and Sappi with ` equal-weight ' recommendations and Holmen and Norske Skog with ` underweight ' ratings .",neutral,the broker start upm kymmen stora enso and sappi with equal weight recommend and holmen and norsk skog with underweight rate,broker start upm kymmen stora enso sappi equal weight recommend holmen norsk skog underweight rate,broker start upm kymmen stora enso sappi equal weight recommend holmen norsk skog underweight rate
"Operating profit margin was 8.3 % , compared to 11.8 % a year earlier .",neutral,oper profit margin wa compar to a year earlier,oper profit margin wa compar year earlier,oper profit margin wa compar year earlier
"The markets are almost completely controlled by three banks : Nordea , OP Bank Group , and Sampo .",neutral,the market are almost complet control by three bank nordea op bank group and sampo,market almost complet control three bank nordea op bank group sampo,market almost complet control three bank nordea op bank group sampo
Net profit fell by almost half to +é 5.5 million from +é 9.4 million at the end of 2007 .,negative,net profit fell by almost half to from at the end of,net profit fell almost half end,net profit fell almost half end
"EQ Bank forecasts Olvi 's net sales at EUR 67mn in the second quarter of 2009 , and operating profit at EUR 6.4 mn .",neutral,eq bank forecast olvi s net sale at 67mn in the second quarter of and oper profit at mn,eq bank forecast olvi net sale 67mn second quarter oper profit mn,eq bank forecast olvi net sale 67mn second quarter oper profit million
"H+Ñkan Dahlstr+Âm , head of mobility services at TeliaSonera , has forecast that mobile data volume on the TeliaSonera network in Sweden will rise eight-fold to 200,000 TB by 2014 .",positive,h kan dahlstr m head of mobil servic at teliasonera ha forecast that mobil data volum on the teliasonera network in sweden will rise eight fold to tb by,h kan dahlstr head mobil servic teliasonera ha forecast mobil data volum teliasonera network sweden rise eight fold tb,h kan dahlstr head mobil servic teliasonera ha forecast mobil data volum teliasonera network sweden rise eight fold tb
"Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told .",neutral,belaru oao lidsko pivo breweri base in the grodno region report a decreas in output to decalit in januari march a repres in the administr of the compani told,belaru oao lidsko pivo breweri base grodno region report decreas output decalit januari march repres administr compani told,belaru oao lidsko pivo breweri base grodno region report decreas output decalit januari march repres administr compani told
The bridge will be built to the south of the existing bridge spanning the strait .,neutral,the bridg will be built to the south of the exist bridg span the strait,bridg built south exist bridg span strait,bridg built south exist bridg span strait
The deal will have no significant effect on the acquiring company 's equity ratio .,neutral,the deal will have no signific effect on the acquir compani s equiti ratio,deal signific effect acquir compani equiti ratio,deal signific effect acquir compani equiti ratio
Risk exposure by Non-life Insurance  Moving 12-month  Expenses by function in Non-life Insurance excluding expenses for investment management and expenses for other services rendered Non-life Insurance investment portfolio by allocation,neutral,risk exposur by non life insur move month expens by function in non life insur exclud expens for invest manag and expens for other servic render non life insur invest portfolio by alloc,risk exposur non life insur move month expens function non life insur exclud expens invest manag expens servic render non life insur invest portfolio alloc,risk exposur non life insur move month expens function non life insur exclud expens invest manag expens servic render non life insur invest portfolio alloc
The company is also featured in the Ethibel Pioneer Investment Register and included in Innovest 's Global 100 list of the world 's most sustainable corporations .,positive,the compani is also featur in the ethibel pioneer invest regist and includ in innovest s global list of the world s most sustain corpor,compani also featur ethibel pioneer invest regist includ innovest global list world sustain corpor,compani also featur ethibel pioneer invest regist includ innovest global list world sustain corpor
The value of the multi-year agreement is over EUR 2mn a year .,neutral,the valu of the multi year agreement is over 2mn a year,valu multi year agreement 2mn year,valu multi year agreement 2mn year
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",negative,glencor cut budget plan to divest from lonmin,glencor cut budget plan divest lonmin,glencor cut budget plan divest lonmin
Cash flow from business operations totalled EUR 0.4 mn compared to a negative EUR 15.5 mn in the first half of 2008 .,positive,cash flow from busi oper total mn compar to a neg mn in the first half of,cash flow busi oper total mn compar neg mn first half,cash flow busi oper total million compar neg million first half
"Compared with the FTSE 100 index , which rose 28.3 points or 0.5 % on the day , this was a relative price change of 2.3 % .",positive,compar with the ftse index which rose point or on the day thi wa a rel price chang of,compar ftse index rose point day thi wa rel price chang,compar ftse index rose point day thi wa rel price chang
"At the moment , Valio is not worried , but if the ban continues for long , it may become quite a problem .",negative,at the moment valio is not worri but if the ban continu for long it may becom quit a problem,moment valio worri ban continu long may becom quit problem,moment valio worri ban continu long may becom quit problem
Zurich Insurance Considering Offer for UK Rival RSA Insurance,positive,zurich insur consid offer for uk rival rsa insur,zurich insur consid offer uk rival rsa insur,zurich insur consid offer uk rival rsa insur
"After buying Eukor Car Carriers 50 percent stake , Grimaldi Group is now the sole owner of the Swedish roll-on , roll-off port of Wallhamn .",neutral,after buy eukor car carrier percent stake grimaldi group is now the sole owner of the swedish roll on roll off port of wallhamn,buy eukor car carrier percent stake grimaldi group sole owner swedish roll roll port wallhamn,buy eukor car carrier percent stake grimaldi group sole owner swedish roll roll port wallhamn
"Destia Oy is a Finnish infrastructure and construction service company building , maintaining and designing traffic routes , industrial and traffic environments , but also complete living environments .",neutral,destia oy is a finnish infrastructur and construct servic compani build maintain and design traffic rout industri and traffic environ but also complet live environ,destia oy finnish infrastructur construct servic compani build maintain design traffic rout industri traffic environ also complet live environ,destia oy finnish infrastructur construct servic compani build maintain design traffic rout industri traffic environ also complet live environ
"ALEXANDRIA , Va. , March 28 -- Pertti Salmi and Hanna Vuolteenaho , both of Oulu , Finland , and Sami Viitasaari of Ii , Finland , have developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",neutral,alexandria va march pertti salmi and hanna vuolteenaho both of oulu finland and sami viitasaari of ii finland have develop an ornament design for a handset the you s patent trademark offic announc,alexandria va march pertti salmi hanna vuolteenaho oulu finland sami viitasaari ii finland develop ornament design handset patent trademark offic announc,alexandria va march pertti salmi hanna vuolteenaho oulu finland sami viitasaari ii finland develop ornament design handset patent trademark offic announc
It will also strengthen Ruukki 's offshore business .,positive,it will also strengthen ruukki s offshor busi,also strengthen ruukki offshor busi,also strengthen ruukki offshor busi
The handset maker did not disclose any financial details .,neutral,the handset maker did not disclos ani financi detail,handset maker disclos ani financi detail,handset maker disclos ani financi detail
The plant is expected to start production in the first half of 2007 .,neutral,the plant is expect to start product in the first half of,plant expect start product first half,plant expect start product first half
"The restructuring creates a more efficient organization with increased operational focus and stable profitability , and leads to more efficient production , said Bo Annvik , head of Specialty Stainless .",positive,the restructur creat a more effici organ with increas oper focu and stabl profit and lead to more effici product said bo annvik head of specialti stainless,restructur creat effici organ increas oper focu stabl profit lead effici product said bo annvik head specialti stainless,restructur creat effici organ increas oper focu stabl profit lead effici product said bo annvik head specialti stainless
The electricity requirement of networks will grow with the new mobile generation .,neutral,the electr requir of network will grow with the new mobil gener,electr requir network grow new mobil gener,electr requir network grow new mobil gener
"Order intake , on the other hand , is expected to be stronger than in 2007 .",positive,order intak on the other hand is expect to be stronger than in,order intak hand expect stronger,order intak hand expect stronger
"Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",negative,net profit in the three month through march fell to x20ac us from x20ac a year earlier the finnish compani said,net profit three month march fell x20ac us x20ac year earlier finnish compani said,net profit three month march fell x20ac america x20ac year earlier finnish compani said
"CHS Expo Freight is a major Finnish fair , exhibition and culture logistics company that provides logistics services to various events by land , air and sea .",neutral,ch expo freight is a major finnish fair exhibit and cultur logist compani that provid logist servic to variou event by land air and sea,ch expo freight major finnish fair exhibit cultur logist compani provid logist servic variou event land air sea,ch expo freight major finnish fair exhibit cultur logist compani provid logist servic variou event land air sea
No changes regarding the Virala Oy Ab s ownership of shares of Tiimari has taken place .,neutral,no chang regard the virala oy ab s ownership of share of tiimari ha taken place,chang regard virala oy ab ownership share tiimari ha taken place,chang regard virala oy ab ownership share tiimari ha taken place
"Proha Plc ( Euronext :7327 ) announced today ( 19 May ) that its fully-owned subsidiary , Safran Software Solutions AS , has agreed to sell its 49 % share of Safran North America LLC to a SNA Holding AS , an investment group based in Norway .",neutral,proha plc announc today may that it fulli own subsidiari safran softwar solut as ha agre to sell it share of safran north america llc to a sna hold as an invest group base in norway,proha plc announc today may fulli subsidiari safran softwar solut ha agre sell share safran north america llc sna hold invest group base norway,proha company announc today may fulli subsidiari safran softwar solut ha agre sell share safran north america llc sna hold invest group base norway
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,oper profit total mn up from mn in repres of net sale,oper profit total mn up mn repres net sale,oper profit total million up million repres net sale
"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .",negative,finnish power suppli solut and system provid efor oyj said it net loss widen to mln mln for the first quarter of fiscal end octob from mln for the same period of fiscal,finnish power suppli solut system provid efor oyj said net loss widen mln mln first quarter fiscal end octob mln period fiscal,finnish power suppli solut system provid efor company said net loss widen million million first quarter fiscal end octob million period fiscal
Long $GPRO for a brealout trade,positive,long gpro for a brealout trade,long gpro brealout trade,long gpro brealout trade
The terms and conditions of Stock Option Scheme 2004 are available on the Group 's website .,neutral,the term and condit of stock option scheme are avail on the group s websit,term condit stock option scheme avail group websit,term condit stock option scheme avail group websit
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,positive,net sale grew in the period to x20ac 585u from x20ac in,net sale grew period x20ac 585u x20ac,net sale grew period x20ac 585u x20ac
"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions .",negative,oper margin howev slip to from drag down by a poor perform in enterpris solut,oper margin howev slip drag down poor perform enterpris solut,oper margin howev slip drag down poor perform enterpris solut
"Trading under the name Velta UK , a former Uponor brand , the company has been Uponor 's long-term partner in supplying Velta-branded systems particularly for the commercial and industrial building sector in the UK and internationally .",neutral,trade under the name velta uk a former uponor brand the compani ha been uponor s long term partner in suppli velta brand system particularli for the commerci and industri build sector in the uk and intern,trade name velta uk former uponor brand compani ha uponor long term partner suppli velta brand system particularli commerci industri build sector uk intern,trade name velta uk former uponor brand compani ha uponor long term partner suppli velta brand system particularli commerci industri build sector uk intern
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",neutral,dolc gabbana ha ask the union to declar marimekko corpor s unikko floral pattern trademark invalid in a continu disput between the two compani,dolc gabbana ha ask union declar marimekko corpor unikko floral pattern trademark invalid continu disput two compani,dolc gabbana ha ask union declar marimekko corpor unikko floral pattern trademark invalid continu disput two compani
Electronic versions require 24-48 hours as each copy is customized to the client with digital controls and custom watermarks .,neutral,electron version requir hour as each copi is custom to the client with digit control and custom watermark,electron version requir hour copi custom client digit control custom watermark,electron version requir hour copi custom client digit control custom watermark
"The contract covers the supply of temporary heating equipment for LKAB 's new pellet plant in Kiruna , in northern Sweden .",neutral,the contract cover the suppli of temporari heat equip for lkab s new pellet plant in kiruna in northern sweden,contract cover suppli temporari heat equip lkab new pellet plant kiruna northern sweden,contract cover suppli temporari heat equip lkab new pellet plant kiruna northern sweden
"Latin America currently accounts for approximately 40 % of sales at Finnish BSS-OSS and VAS supplier for telecoms operators Tecnotree , company president and CEO Eero Mertano told BNamericas .",neutral,latin america current account for approxim of sale at finnish bss oss and va supplier for telecom oper tecnotre compani presid and ceo eero mertano told bnamerica,latin america current account approxim sale finnish bss oss va supplier telecom oper tecnotre compani presid ceo eero mertano told bnamerica,latin america current account approxim sale finnish bs os va supplier telecom oper tecnotre compani presid ceo eero mertano told bnamerica
"Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn .",positive,oper profit wa mn up from mn,oper profit wa mn up mn,oper profit wa million up million
"Cash flow from operations totalled EUR 7.4 mn , compared to a negative EUR 68.6 mn in the second quarter of 2008 .",positive,cash flow from oper total mn compar to a neg mn in the second quarter of,cash flow oper total mn compar neg mn second quarter,cash flow oper total million compar neg million second quarter
Her present position is the director of Stockmann 's international department stores .,neutral,her present posit is the director of stockmann s intern depart store,present posit director stockmann intern depart store,present posit director stockmann intern depart store
Juniper tumbles on Q1 warning; Cisco also lower https://t.co/N8X8BpLJ1E $JNPR $CSCO,negative,junip tumbl on q1 warn cisco also lower t co n8x8bplj1e jnpr csco,junip tumbl q1 warn cisco also lower co n8x8bplj1e jnpr csco,junip tumbl q1 warn cisco also lower company n8x8bplj1e jnpr csco
Finnish Rautaruukki is selling its precision tube and automotive component processing unit Carl Froh in Germany to German Arques Industries .,neutral,finnish rautaruukki is sell it precis tube and automot compon process unit carl froh in germani to german arqu industri,finnish rautaruukki sell precis tube automot compon process unit carl froh germani german arqu industri,finnish rautaruukki sell precis tube automot compon process unit carl froh germani german arqu industri
Forest certification is a voluntary system aimed at promoting sustainable forest management in commercial forests .,neutral,forest certif is a voluntari system aim at promot sustain forest manag in commerci forest,forest certif voluntari system aim promot sustain forest manag commerci forest,forest certif voluntari system aim promot sustain forest manag commerci forest
The products have a low salt and fat content .,neutral,the product have a low salt and fat content,product low salt fat content,product low salt fat content
UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach,positive,updat sabmil reject ab inbev s bln takeov approach,updat sabmil reject ab inbev bln takeov approach,updat sabmil reject ab inbev bln takeov approach
"POYRY PLCCompany Announcement 10 December 2010 at 4.10 p.m. Pursuant to Poyry PLC 's stock option program 2004 , 63 792 new shares of the company have been subscribed since 27 October 2010 with stock options 2004B .",neutral,poyri plccompani announc decemb at p m pursuant to poyri plc s stock option program new share of the compani have been subscrib sinc octob with stock option 2004b,poyri plccompani announc decemb p pursuant poyri plc stock option program new share compani subscrib sinc octob stock option 2004b,poyri plccompani announc decemb p pursuant poyri company stock option program new share compani subscrib sinc octob stock option 2004b
The new units should become one of the largest ones within the company .,neutral,the new unit should becom one of the largest one within the compani,new unit becom one largest one within compani,new unit becom one largest one within compani
"In this case , the effect would be negative in Finland .",neutral,in thi case the effect would be neg in finland,thi case effect would neg finland,thi case effect would neg finland
Prices and delivery volumes of broadband products decreased significantly in 2005 .,neutral,price and deliveri volum of broadband product decreas significantli in,price deliveri volum broadband product decreas significantli,price deliveri volum broadband product decreas significantli
"$KNDI #China #ElectricCar maker. China car sales +7.8%. Also, may feed off $TSLA momentum run lately.",positive,kndi china electriccar maker china car sale also may feed off tsla momentum run late,kndi china electriccar maker china car sale also may feed tsla momentum run late,kndi china electriccar maker china car sale also may feed tsla momentum run late
"According to Bosse , the present cooperation is beneficial to all parties , however .",positive,accord to boss the present cooper is benefici to all parti howev,accord boss present cooper benefici parti howev,accord bos present cooper benefici parti howev
Cash flow from operations rose to EUR 52.7 mn from EUR 15.6 mn in 2007 .,positive,cash flow from oper rose to mn from mn in,cash flow oper rose mn mn,cash flow oper rose million million
"Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn .",positive,fiskar brand report net sale of mn up from mn,fiskar brand report net sale mn up mn,fiskar brand report net sale million up million
"The Annual Report contains the financial statements , the consolidated financial statements , the report by the Board of Directors and the auditor 's report .",neutral,the annual report contain the financi statement the consolid financi statement the report by the board of director and the auditor s report,annual report contain financi statement consolid financi statement report board director auditor report,annual report contain financi statement consolid financi statement report board director auditor report
Cargotec will also move Hallberg-Ivarsson 's service and installation business under the same roof with its service center for Kalmar and MacGregor solutions in Gothenburg .,neutral,cargotec will also move hallberg ivarsson s servic and instal busi under the same roof with it servic center for kalmar and macgregor solut in gothenburg,cargotec also move hallberg ivarsson servic instal busi roof servic center kalmar macgregor solut gothenburg,cargotec also move hallberg ivarsson servic instal busi roof servic center kalmar macgregor solut gothenburg
The company 's board of directors would propose a dividend of EUR0 .15 per share for 2005 .,neutral,the compani s board of director would propos a dividend of per share for,compani board director would propos dividend per share,compani board director would propos dividend per share
"On the other hand , Finnish sawmills ' production has decreased even more .",neutral,on the other hand finnish sawmil product ha decreas even more,hand finnish sawmil product ha decreas even,hand finnish sawmil product ha decreas even
"This new deal has strengthened the partnership from Telemig Celular and Tecnomen , which it has started since the beginning of Telemig 's prepaid operations .",positive,thi new deal ha strengthen the partnership from telemig celular and tecnomen which it ha start sinc the begin of telemig s prepaid oper,thi new deal ha strengthen partnership telemig celular tecnomen ha start sinc begin telemig prepaid oper,thi new deal ha strengthen partnership telemig celular tecnomen ha start sinc begin telemig prepaid oper
Tesco leads leap in FTSE 100; Marks & Spencer drops,positive,tesco lead leap in ftse mark spencer drop,tesco lead leap ftse mark spencer drop,tesco lead leap ftse mark spencer drop
"SSH Communications Security Corporation is headquartered in Helsinki , Finland .",neutral,ssh commun secur corpor is headquart in helsinki finland,ssh commun secur corpor headquart helsinki finland,ssh commun secur corpor headquart helsinki finland
RISING costs have forced packaging producer Huhtamaki to axe 90 jobs at its Hampshire manufacturing plant .,neutral,rise cost have forc packag produc huhtamaki to axe job at it hampshir manufactur plant,rise cost forc packag produc huhtamaki axe job hampshir manufactur plant,rise cost forc packag produc huhtamaki axe job hampshir manufactur plant
"The company designs , manufactures and markets advanced composite products for industrial applications and consumer goods such as cross-country , alpine and Nordic Walking poles , floorball sticks and antenna radomes .",neutral,the compani design manufactur and market advanc composit product for industri applic and consum good such as cross countri alpin and nordic walk pole floorbal stick and antenna radom,compani design manufactur market advanc composit product industri applic consum good cross countri alpin nordic walk pole floorbal stick antenna radom,compani design manufactur market advanc composit product industri applic consum good cross countri alpin nordic walk pole floorbal stick antenna radom
Unilever 's Turun Sinappi that is made in Sweden holds 40 % of the market .,neutral,unilev s turun sinappi that is made in sweden hold of the market,unilev turun sinappi made sweden hold market,unilev turun sinappi made sweden hold market
"Thus the group 's balance sheet will have about EUR25 .8 m in goodwill for 2010 , the company added .",neutral,thu the group s balanc sheet will have about m in goodwil for the compani ad,thu group balanc sheet goodwil compani ad,thu group balanc sheet goodwil compani ad
"Vanhanen said the strike would be `` extremely damaging '' as some 1,300 participants and reporters begin to arrive in Finland for the one-day EU summit with Russian President Vladimir Putin in Lahti , about 100 kilometers ( 60 miles ) north of Helsinki .",neutral,vanhanen said the strike would be extrem damag as some particip and report begin to arriv in finland for the one day eu summit with russian presid vladimir putin in lahti about kilomet mile north of helsinki,vanhanen said strike would extrem damag particip report begin arriv finland one day eu summit russian presid vladimir putin lahti kilomet mile north helsinki,vanhanen said strike would extrem damag particip report begin arriv finland one day eu summit russian presid vladimir putin lahti kilomet mile north helsinki
Border Guard Service has banned the mooring of the company car-shipping ferry on its test travel at the railroad-car terminal of the Russian port as the border checkpoint is not yet ready .,negative,border guard servic ha ban the moor of the compani car ship ferri on it test travel at the railroad car termin of the russian port as the border checkpoint is not yet readi,border guard servic ha ban moor compani car ship ferri test travel railroad car termin russian port border checkpoint yet readi,border guard servic ha ban moor compani car ship ferri test travel railroad car termin russian port border checkpoint yet readi
Financing of the project will come mainly from China .,neutral,financ of the project will come mainli from china,financ project come mainli china,financ project come mainli china
`` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . '',positive,the purchas of the oper is part of yit s strategi to expand it offer of build system servic geograph,purchas oper part yit strategi expand offer build system servic geograph,purchas oper part yit strategi expand offer build system servic geograph
"The Finnish government announced Wednesday that it sold a 32 percent stake in chemicals and fertilizer group Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , sending the company 's share price up 6 percent .",positive,the finnish govern announc wednesday that it sold a percent stake in chemic and fertil group kemira oyj for x20ac 890u send the compani s share price up percent,finnish govern announc wednesday sold percent stake chemic fertil group kemira oyj x20ac 890u send compani share price up percent,finnish govern announc wednesday sold percent stake chemic fertil group kemira company x20ac 890u send compani share price up percent
The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier .,negative,the fair valu of the compani s invest properti went down to bn at the end of septemb from bn a year earlier,fair valu compani invest properti went down bn end septemb bn year earlier,fair valu compani invest properti went down bn end septemb bn year earlier
UPM-Kymmene has generated seventeen consecutive quarters of positive Cash Flow from Operations .,positive,upm kymmen ha gener seventeen consecut quarter of posit cash flow from oper,upm kymmen ha gener seventeen consecut quarter posit cash flow oper,upm kymmen ha gener seventeen consecut quarter posit cash flow oper
"Konecranes Oyj KCR1V FH fell 5.5 percent to 20.51 euros , the biggest fall since June .",neutral,konecran oyj kcr1v fh fell percent to the biggest fall sinc june,konecran oyj kcr1v fh fell percent biggest fall sinc june,konecran company kcr1v fh fell percent biggest fall sinc june
"CapMan said the deal 's effect on its cash flow for 2009 totals EUR3 .4 m , but the transaction would not affect its financial results for 2009 as it was executed at fair value .",neutral,capman said the deal s effect on it cash flow for total m but the transact would not affect it financi result for as it wa execut at fair valu,capman said deal effect cash flow total transact would affect financi result wa execut fair valu,capman said deal effect cash flow total transact would affect financi result wa execut fair valu
Vianor sells tires for cars and trucks as well as a range of other car parts and provides maintenance services .,neutral,vianor sell tire for car and truck as well as a rang of other car part and provid mainten servic,vianor sell tire car truck well rang car part provid mainten servic,vianor sell tire car truck well rang car part provid mainten servic
"Patrick Jeambar will also continue being responsible for Innovation and Health , safety and environment HSEA functions of Ahlstrom Corporation .",neutral,patrick jeambar will also continu be respons for innov and health safeti and environ hsea function of ahlstrom corpor,patrick jeambar also continu respons innov health safeti environ hsea function ahlstrom corpor,patrick jeambar also continu respons innov health safeti environ hsea function ahlstrom corpor
"Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio .",neutral,found in strand associ which provid civil environment transport electr and mechan engin servic ha employe at offic in wisconsin alabama illinoi indiana kentucki and ohio,found strand associ provid civil environment transport electr mechan engin servic ha employe offic wisconsin alabama illinoi indiana kentucki ohio,found strand associ provid civil environment transport electr mechan engin servic ha employe offic wisconsin alabama illinoi indiana kentucki ohio
Royal Mail share price rallies amid positive broker comments,positive,royal mail share price ralli amid posit broker comment,royal mail share price ralli amid posit broker comment,royal mail share price ralli amid posit broker comment
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,share of standard charter stan rose in the ftse while royal bank of scotland rb share rose and barclay share barc bc were up,share standard charter stan rose ftse royal bank scotland rb share rose barclay share barc bc up,share standard charter stan rose ftse royal bank scotland rb share rose barclay share barc bc up
"For the purposes of the possible acquisition , PKC would establish a subsidiary in Poland .",neutral,for the purpos of the possibl acquisit pkc would establish a subsidiari in poland,purpos possibl acquisit pkc would establish subsidiari poland,purpos possibl acquisit pkc would establish subsidiari poland
"Its main business area , the Glass Machinery Group of Glaston Technologies , is the global market leader in glass processing machines .",positive,it main busi area the glass machineri group of glaston technolog is the global market leader in glass process machin,main busi area glass machineri group glaston technolog global market leader glass process machin,main busi area glass machineri group glaston technolog global market leader glass process machin
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,negative,oper profit fell to mn from mn in the second quarter of,oper profit fell mn mn second quarter,oper profit fell million million second quarter
"Lithuanian beer makers sold 256.88 million liters of beer in 2005 , a rise of 4.5 per cent from the year-earlier figure of 245.92 million liters .",positive,lithuanian beer maker sold liter of beer in a rise of per cent from the year earlier figur of liter,lithuanian beer maker sold liter beer rise per cent year earlier figur liter,lithuanian beer maker sold liter beer rise per cent year earlier figur liter
"The negotiations were carried out in a constructive manner , and all parties tried to find a solution to the situation .",positive,the negoti were carri out in a construct manner and all parti tri to find a solut to the situat,negoti carri construct manner parti tri find solut situat,negoti carri construct manner parti tri find solut situat
"As a result , the company currently anticipates net sales to increase and the operating result to be positive .",positive,as a result the compani current anticip net sale to increas and the oper result to be posit,result compani current anticip net sale increas oper result posit,result compani current anticip net sale increas oper result posit
The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR93 .9 m as given in the interim report on 5 August 2009 .,negative,the compani confirm it estim for lower revenu for the whole than the year ago m as given in the interim report on august,compani confirm estim lower revenu whole year ago given interim report august,compani confirm estim lower revenu whole year ago given interim report august
The company 's model is based on developer contracting construction projects and customer focused project management .,neutral,the compani s model is base on develop contract construct project and custom focus project manag,compani model base develop contract construct project custom focus project manag,compani model base develop contract construct project custom focus project manag
The SeaWind that was en route from the Finnish port of Turku to Stockholm got stuck in ice already around 4 p.m. on Wednesday and the Regal Star 's journey from the Swedish port of Kapellskar to Paldiski in northwestern Estonia was cut short at 2 a.m. on Thursday .,negative,the seawind that wa en rout from the finnish port of turku to stockholm got stuck in ice alreadi around p m on wednesday and the regal star s journey from the swedish port of kapellskar to paldiski in northwestern estonia wa cut short at a m on thursday,seawind wa en rout finnish port turku stockholm got stuck ice alreadi around p wednesday regal star journey swedish port kapellskar paldiski northwestern estonia wa cut short thursday,seawind wa en rout finnish port turku stockholm got stuck ice alreadi around p wednesday regal star journey swedish port kapellskar paldiski northwestern estonia wa cut short thursday
Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 .,neutral,oper loss amount to mn compar to a profit of mn in the second quarter of,oper loss amount mn compar profit mn second quarter,oper loss amount million compar profit million second quarter
"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports net sales of EUR 49.6 mn in the first quarter of 2009 , which are only a per cent smaller than in the corresponding period in 2008 .",neutral,finnish scanfil a system supplier and contract manufactur to the commun sector and the electron industri report net sale of mn in the first quarter of which are onli a per cent smaller than in the correspond period in,finnish scanfil system supplier contract manufactur commun sector electron industri report net sale mn first quarter onli per cent smaller correspond period,finnish scanfil system supplier contract manufactur commun sector electron industri report net sale million first quarter onli per cent smaller correspond period
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",negative,the sale will result in a capit loss of for solidium which obtain tikkurila share in march,sale result capit loss solidium obtain tikkurila share march,sale result capit loss solidium obtain tikkurila share march
"Price talk is in the mid-market swaps plus 105 bps area and the leads are Barclays , BNPP , UBS and CBA .",neutral,price talk is in the mid market swap plu bp area and the lead are barclay bnpp ub and cba,price talk mid market swap plu bp area lead barclay bnpp ub cba,price talk mid market swap plu bp area lead barclay bnpp ub cba
"Speaking to just-drinks today , a spokesperson for Olvi said : `` We have performed very well in all four countries we operate in - namely , Finland , Estonia , Latvia and Lithuania . ''",positive,speak to just drink today a spokesperson for olvi said we have perform veri well in all four countri we oper in name finland estonia latvia and lithuania,speak drink today spokesperson olvi said perform veri well four countri oper name finland estonia latvia lithuania,speak drink today spokesperson olvi said perform veri well four countri oper name finland estonia latvia lithuania
It is planned to set up the A class business center in the two top storeys of the complex .,neutral,it is plan to set up the a class busi center in the two top storey of the complex,plan set up class busi center two top storey complex,plan set up class busi center two top storey complex
"$CNP Sell Short Position on CNP,...Closed for Profit $ 59,367.00 (7.75%) http://stks.co/ghjc",positive,cnp sell short posit on cnp close for profit http stk co ghjc,cnp sell short posit cnp close profit http stk co ghjc,cnp sell short posit cnp close profit http stk company ghjc
Commented on It's Time To Embrace Dividend Growth https://t.co/wc2qfP79TN $ABBV $CSCO $WYN,positive,comment on it s time to embrac dividend growth t co wc2qfp79tn abbv csco wyn,comment time embrac dividend growth co wc2qfp79tn abbv csco wyn,comment time embrac dividend growth company wc2qfp79tn abbv csco wyn
"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",positive,caixabank do santo agre on plan for bpi angola exposur,caixabank santo agre plan bpi angola exposur,caixabank santo agre plan bpi angola exposur
